id,name,date
1,Herfelingen,27-12-18
2,Lambusart,14-06-18
3,Spormaggiore,15-04-18
4,Buizingen,05-09-19
5,San Rafael,04-09-19
6,Cáceres,03-03-19
7,Montemignaio,05-02-19
8,Gubbio,08-09-19
9,Ligney,28-05-18
10,Wals-Siezenheim,21-07-19
11,Portree,16-11-19
12,Port Hope,23-02-20
13,Beerst,08-10-18
14,Saint John,30-03-18
15,Timaru,17-11-18
16,North Cowichan,12-02-19
17,Harelbeke,16-09-18
18,Villa Alemana,02-06-19
19,Navadwip,01-07-18
20,Osgoode,01-01-19
21,Titagarh,26-12-18
22,Tomé,14-01-19
23,Beaconsfield,03-07-19
24,Roosdaal,07-12-18
25,Tracadie-Shelia,10-04-18
26,Beaconsfield,24-04-19
27,Enna,27-07-19
28,Baltasound,11-11-19
29,Burnpur,23-12-19
30,Chambord,02-11-18
31,Drumheller,05-02-20
32,Belfort,30-11-18
33,Lede,13-11-19
34,Edmundston,07-01-19
35,Oliver,12-10-18
36,Neufeld an der Leitha,30-09-18
37,Los Álamos,09-01-19
38,Valmacca,13-08-18
39,Bari,12-04-19
40,Nijkerk,18-02-19
41,Mönchengladbach,09-12-19
42,Sparwood,20-10-18
43,Montebello,23-10-19
44,Raipur,31-12-18
45,Quilicura,18-06-18
46,Sint-Jans-Molenbeek,11-08-19
47,Aguacaliente (San Francisco),01-08-18
48,Pontypridd,30-01-19
49,Morpeth,17-09-19
50,San Polo d'Enza,07-04-19
51,Castletown,13-07-18
52,Hudson Bay,13-07-19
53,Acquedolci,17-03-19
54,Blankenberge,19-06-19
55,Santander,12-03-18
56,Cromer,01-08-19
57,Essex,10-02-19
58,Kharagpur,02-06-19
59,Essen,04-11-18
60,Bielefeld,19-05-19
61,Sogliano Cavour,15-08-18
62,Braies/Prags,18-08-18
63,Schepdaal,05-04-18
64,Enines,07-09-19
65,Tufara,21-10-19
66,Fort Simpson,05-05-18
67,Alert Bay,12-12-18
68,Okara,20-12-18
69,Heusweiler,30-11-19
70,Gary,06-05-19
71,Saint Louis,08-10-19
72,Carluke,20-04-18
73,Rimbey,19-11-19
74,Hervey Bay,01-08-18
75,Villafranca in Lunigiana,01-10-18
76,Laino Castello,19-04-19
77,McCallum,20-03-18
78,Civo,02-10-18
79,Schwedt,31-12-19
80,Nashville,09-03-18
81,Viddalba,28-05-19
82,Santa María,14-09-19
83,Cairns,14-05-19
84,Cagnes-sur-Mer,23-08-19
85,Malegaon,21-12-19
86,Atlanta,02-02-19
87,Morhet,01-04-18
88,Paulatuk,13-10-19
89,Mâcon,27-07-19
90,Wakefield,23-10-18
91,Daussoulx,19-12-19
92,Stamford,11-09-18
93,Kolmont,05-11-19
94,San Fele,28-11-19
95,Wijnegem,02-04-19
96,Pointe-au-Pic,29-07-19
97,Vlezenbeek,21-08-19
98,Annapolis County,13-08-19
99,Frederick,29-04-19
100,Huelva,08-01-19